"","GoodID","COO","Rating","No_of_reviews","RecentSoldnum","Price","Variety","Reserve","Protected_indicator_of_origin","Alcohol_Content","Body","RatingNo_of_reviews"
"1","25","澳大利亚(Australia)",0.9,4,18,950,"chardonnay",0,1,13.5,"中低",3.6
"2","30","澳大利亚(Australia)",1,0,123,159,"chardonnay",0,1,14.5,"轻",0
"4","80","智利(Chile)",0.9,9,334,128,"carmenere",0,1,13.5,"中高",8.1
"7","85","智利(Chile)",0.9,8,200,188,"carmenere",0,1,14,"中高",7.2
"8","88","智利(Chile)",0.7,5,163,82,"sauvignon",0,1,13.5,"中低",3.5
"11","682","澳大利亚(Australia)",1,0,29,198,"sauvignon",0,1,11,"中",0
"12","693","智利(Chile)",0.8,2,53,176,"sauvignon",0,1,13,"轻",1.6
"13","1125","意大利(Italy)",0.8,799,115133,49.3,"merlot",0,1,10.5,"中",639.2
"14","1126","意大利(Italy)",0.8,292,49635,49.3,"garganega",0,1,10.5,"中高",233.6
"15","1402","意大利(Italy)",0.8,318,19701,49.3,"merlot",0,1,10.5,"中高",254.4
"16","2922","意大利(Italy)",1,3056,244083,78,"malvasia",0,1,8,"中",3056
"17","3062","德国(Germany)",1,822,32086,158,"riesling",0,1,9.5,"中高",822
"19","3103","德国(Germany)",0.8,345,14298,158,"dornfelder",0,1,10.5,"中",276
"20","3104","德国(Germany)",0.8,248,11747,85,"dornfelder",0,1,12,"中",198.4
"29","4926","新西兰(New",0.9,54,1683,378,"chardonnay",0,1,14,"中低",48.6
"30","5267","澳大利亚(Australia)",0.9,1324,191509,49,"syrah",0,1,13.5,"中高",1191.6
"31","5268","澳大利亚(Australia)",0.9,351,38650,49,"cabernet",0,1,13.5,"中高",315.9
"32","5269","澳大利亚(Australia)",0.9,249,40892,49,"merlot",0,1,13.5,"中高",224.1
"33","5283","澳大利亚(Australia)",1,86,6753,49,"chardonnay",0,0,13.5,"中",86
"35","7784","澳大利亚(Australia)",0.8,8,57,398,"shiraz",0,1,14,"重",6.4
"36","7808","澳大利亚(Australia)",1,4,35,428,"cabernet",0,1,14.5,"中高",4
"39","7905","智利(Chile)",0.8,101,2491,72,"sauvignon",0,0,13.5,"中",80.8
"40","7906","智利(Chile)",0.9,687,22617,72,"malbec",0,1,14,"中高",618.3
"41","7907","智利(Chile)",1,332,3231,106,"syrah",0,0,13.5,"中低",332
"43","9043","意大利(Italy)",0.8,316,11535,88,"malvasia",0,1,11,"中低",252.8
"45","10403","法国(France)",1,9,409,178,"pinot",0,1,12.5,"中",9
"47","10864","德国(Germany)",0.8,13,162,268,"riesling",0,1,10,"中高",10.4
"48","10869","美国(USA)",0.9,11,72,288,"merlot",0,1,14.2,"中高",9.9
"49","11063","德国(Germany)",0.9,7,128,178,"bacchus",0,1,11.5,"中",6.3
"52","12683","智利(Chile)",0.8,396,41468,59,"sauvignon",0,1,13,"中低",316.8
"53","12684","智利(Chile)",0.8,283,47430,59,"cabernet",0,1,13,"中高",226.4
"54","12685","智利(Chile)",0.8,299,51327,149,"carmenere",0,1,13,"中高",239.2
"55","12686","智利(Chile)",0.8,256,13959,69,"merlot",0,1,14,"中高",204.8
"56","12687","智利(Chile)",0.8,232,10696,69,"carmenere",0,1,14,"中高",185.6
"58","13083","智利(Chile)",0.9,325,5091,118,"gewurztraminer",0,0,12,"中高",292.5
"60","14461","法国(France)",1,323,142880,49.5,"cabernet",0,1,13,"中高",323
"61","14462","法国(France)",1,429,433787,49,"merlot",0,1,13,"中高",429
"63","15679","西班牙(Spain)",0.9,4,39,206,"tempranillo",0,1,13,"中高",3.6
"64","15680","西班牙(Spain)",1,9,29,139,"sauvignon",0,1,12.5,"中高",9
"71","15911","德国(Germany)",1,426,19347,160,"ortega",0,1,11.5,"中高",426
"73","16724","法国(France)",0.8,9,24,155,"merlot",0,1,13.5,"中",7.2
"77","5144094","澳大利亚(Australia)",1,7,86,147,"merlot",0,1,13,"重",7
"79","5144267","法国(France)",0.8,51,9876,198,"gamay",0,1,12.5,"中",40.8
