"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"1","314","220","14.5","0000","智利(Chile) 中央山谷(Central Valley)","88%佳美娜 12%赤霞珠","重","智利优质名贵酒庄（小橡木桶珍酿）","80","14"
"2","4","79","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%佳美娜(Carmenere)","中高","智利优质酒庄","90","9"
"3","0","109","12.5","0000","智利(Chile) 中央山谷(Central Valley)","70%赤霞珠(Cabernet Sauvignon)、30%梅洛(Merlot)","中","智利优质酒庄","80","197"
"4","3","109","12.5","0000","智利(Chile) 中央山谷(Central Valley)","85%白苏维翁(Sauvignon Blanc) 15%莎当妮(Chardonnay)","中","智利名庄","80","92"
"5","0","188","14","0000","智利(Chile) 中央山谷(Central Valley)","100%佳美娜(Carmenere)","中高","智利优质名贵酒庄（酒庄珍藏佳酿级）","90","8"
"6","0","120","13","0000","智利(Chile) 中央山谷(Central Valley)","60%梅洛(Merlot)、40%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","90","10"
"7","0","49.3","10.5","0000","意大利(Italy) 威尼托(Veneto)","100%梅洛(Merlot)","中","意大利/威尼托地方餐酒 V.D.T","80","799"
"8","2","49.3","10.5","0000","意大利(Italy) 威尼托(Veneto)","100%佳纳佳(Garganega)","中高","意大利/威尼托地方餐酒 V.D.T","80","292"
"9","1","49.3","10.5","0000","意大利(Italy) 威尼托(Veneto)","100%梅洛(Merlot)","中高","意大利/威尼托地方餐酒 V.D.T","80","318"
"10","8","79","8","0000","意大利(Italy) 其他","100%玛尔维萨(Malvasia)","中","艾米利亚-罗马涅IGT","100","3056"
"11","5","85","9.5","0000","德国(Germany) 莫塞(Mosel)","100%雷司令(Riesling)","中高","Q.B.A","100","822"
"12","13","245","8","0000","德国(Germany) 法尔兹(Pfalz)","雷司令(Riesling) 奥特加(Ortega)","重","德国特定产区（冰酒级）优质酒Q.M.P(Eiswein)","90","617"
"13","2","85","10.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%圣菲德(Dornfelder)","中","德国特定产区优质酒 Q.B.A","80","345"
"14","0","65","12","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%圣菲德(Dornfelder)","中","德国特定产区优质酒 Q.B.A","80","248"
"15","0","88","13.5","0000","智利(Chile) 中央山谷(Central Valley)","70%梅洛(Merlot)  30%赤霞珠","中","智利优质酒庄","80","92"
"16","7","59","13.5","0000","智利(Chile) 中央山谷(Central Valley)","70%梅洛(Merlot)、30%赤霞珠(Cabernet Sauvignon) ","中高","智利优质酒庄","100","2315"
"17","0","69","13.5","0000","智利(Chile) 中央山谷(Central Valley)","85%赤霞珠(Cabernet Sauvignon)15%梅洛(Merlot)","中","智利优质酒庄","100","272"
"18","2","358",NA,"0000","法国(France) 香槟(Champagne)","黑皮诺(Pinot Noir) 夏多内(Chardonnay) 比诺曼尼(Meunier)","中低","法国香槟产区","90","314"
"19","3","388","12","0000","法国(France) 香槟(Champagne)","黑皮诺(Pinot Noir) 夏多内(Chardonnay) 比诺曼尼(Meunier)","中","法国香槟产区","90","40"
"20","2","339","13.5","0000","新西兰(New Zealand) 马丁伯勒(Martinborough)","苏维浓白(Sauvignon Blanc)","中","新西兰优质酒庄","90","247"
"21","0","378","14","0000","新西兰(New Zealand) 马丁伯勒(Martinborough)","100%夏多内(Chardonnay)","中低","新西兰优质产区","90","54"
"22","77","43","13.5","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","100%西拉/设拉子（Syrah/Shiraz）","中高","澳大利亚优质酒庄","90","1324"
"23","137","43","13.5","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","100%赤霞珠(Cabernet Sauvignon)","中高","澳大利亚优质酒庄","90","351"
"24","122","43","13.5","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","100%梅洛(Merlot)","中高","澳大利亚优质酒庄","90","249"
"25","21","43","13.5","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","100%霞多丽（Chardonnay）","中","  ","100","86"
"26","3","78","12","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","赛美蓉（Semillon）、脱拉米糯（Traminer）、西拉（shiraz）、方蒂耐（Frontignac)","中","澳大利亚优质酒庄","100","12"
"27","1","158","14","0000","智利(Chile) 中央山谷(Central Valley)","赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","100","129"
"28","8","72","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%长相思(Sauvignon Blanc)","中","  ","80","101"
"29","8","72","14","0000","智利(Chile) 中央山谷(Central Valley)","100%马尔白Malbec","中高","智利优质酒庄","90","687"
"30","2","106","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%西拉Syrah","中低","  ","100","332"
"31","0","248","13","0000","法国(France) 波尔多(Bordeaux)","75%梅乐(Merlot) 25%嘉本纳沙威浓(Cabernet Sauvignon)","中","圣达美隆法定产区（Saint-Emilion）Grand Cru","80","17"
"32","3","88","11","0000","意大利(Italy) 其他","100%玛尔维萨malvasia","中低","意大利地区餐酒IGT","80","316"
"33","0","178","12.5","0000","法国(France) 勃艮第(Burgundy)","100%黑品乐(Pinot Noir)","中","勃艮第法定产区A.O.C","100","9"
